sample_id,burst_index,timestamp_ms,S0_410,S0_435,S0_460,S0_485,S0_510,S0_535,S0_560,S0_585,S0_610,S0_645,S0_680,S0_705,S0_730,S0_760,S0_810,S0_860,S0_900,S0_940,S1_410,S1_435,S1_460,S1_485,S1_510,S1_535,S1_560,S1_585,S1_610,S1_645,S1_680,S1_705,S1_730,S1_760,S1_810,S1_860,S1_900,S1_940,N0_410,N0_435,N0_460,N0_485,N0_510,N0_535,N0_560,N0_585,N0_610,N0_645,N0_680,N0_705,N0_730,N0_760,N0_810,N0_860,N0_900,N0_940,N1_410,N1_435,N1_460,N1_485,N1_510,N1_535,N1_560,N1_585,N1_610,N1_645,N1_680,N1_705,N1_730,N1_760,N1_810,N1_860,N1_900,N1_940
T0008,0,19896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.034212,0.435560,-0.753722,0.000000,0.000000,1.106321,0.000000,0.000000,-0.805626,0.000000,0.000000,0.000000,0.000000,0.641254,0.000000,0.000000,-1.150597,0.000000,0.000000,0.000000,-0.764599,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.282486,0.000000,0.000000,0.000000,0.717514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T0008,1,22478,0.000000,0.000000,0.925961,-0.893095,0.000000,-2.746666,-0.551744,-1.041843,-7.932411,-0.446913,-1.034212,-0.000000,-0.753722,0.000000,-0.865127,-1.106319,0.000000,0.000000,0.000000,0.941923,0.000000,0.823175,-0.000002,0.000002,0.000000,-0.000004,-2.301189,-0.000002,-1.009565,0.000000,-0.764599,-0.812244,-0.806348,0.000000,-0.680105,0.994141,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.341370,0.000000,0.298334,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.360295
T0008,2,25090,0.837883,0.979216,0.925961,-0.000002,0.000000,0.686666,-0.000002,-0.000002,0.000000,0.000000,0.000000,0.435560,-0.753722,-0.808875,0.000000,0.000002,0.000000,0.000000,0.000000,0.941923,-0.877960,0.823175,-0.000002,0.000002,0.000000,-0.000004,-1.150593,-0.000002,-0.000002,-0.471053,-0.764599,-0.812244,-0.806348,0.000000,-0.680105,0.994141,0.216771,0.253336,0.239558,0.000000,0.000000,0.177650,0.000000,0.000000,0.000000,0.000000,0.000000,0.112685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.341370,0.000000,0.298334,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.360295
T0008,3,27689,0.837883,0.979216,0.925961,-0.000002,0.000000,0.686666,-0.000002,-0.000002,1.133202,0.000000,-1.034212,0.435560,-0.753722,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.941923,0.000000,0.823175,-0.000002,0.000002,0.000000,-0.000004,-1.150593,-0.000002,-0.000002,0.000000,-0.764599,-0.812244,-0.806348,0.000000,-0.680105,0.994141,0.167627,0.195902,0.185248,0.000000,0.000000,0.137375,0.000000,0.000000,0.226709,0.000000,0.000000,0.087138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.341370,0.000000,0.298334,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.360295
T0008,4,30327,0.837883,0.979216,0.925961,-0.000002,0.000000,0.000000,-0.000002,-0.520924,0.000000,0.000000,-1.034212,0.435560,-0.753722,-0.808875,0.000000,0.000002,0.000000,0.000000,-0.805626,0.941923,0.000000,0.000000,-0.000002,0.000002,0.000000,-0.000004,-1.150593,-0.000002,-0.000002,-0.471053,-0.764599,-0.812244,-0.806348,0.000000,0.000000,0.994141,0.263600,0.308063,0.291309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.137028,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.486514,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.513485
T0008,5,32966,0.837883,0.979216,0.925961,-0.000002,0.000000,0.000000,-0.000002,-0.520924,0.000000,0.000000,-1.034212,0.435560,-0.753722,0.000000,0.000000,0.000002,0.000000,0.000000,-0.805626,1.883846,0.000000,0.823175,0.736898,1.923765,1.910858,1.818657,10.355374,1.048248,1.009563,0.000000,-0.764599,-0.812244,0.000000,0.000000,0.000000,0.994141,0.263600,0.308063,0.291309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.137028,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.083710,0.000000,0.036578,0.032744,0.085483,0.084910,0.080813,0.460146,0.046579,0.044860,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044175
T0008,6,35593,0.000000,0.000000,0.925961,-0.893095,0.000000,-2.746664,-0.551744,-1.041843,-9.065606,-0.446913,-2.068422,-0.000000,-0.753722,0.000000,-0.865127,0.000002,0.000000,0.000000,0.000000,0.941923,0.000000,0.823175,-0.000002,1.282513,1.273907,0.606216,3.451794,0.524124,-0.000002,0.000000,-0.764599,-0.812244,-0.806348,0.000000,0.000000,0.994141,0.000000,0.000000,0.999998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.095165,0.000000,0.083168,0.000000,0.129576,0.128706,0.061248,0.348744,0.052954,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100441
T0008,7,38225,0.837883,0.979218,0.925961,0.893093,0.000000,2.059999,-0.000002,0.520920,4.532806,0.446913,0.000000,0.435560,-0.753722,0.000000,0.000000,0.000002,0.000000,0.000000,-0.805626,0.000000,0.000000,0.000000,-0.736900,0.000000,-1.273903,-1.212440,-5.752983,-0.524126,-0.000002,-0.471053,-0.764599,-0.812244,-0.806348,0.000000,0.000000,0.000000,0.072030,0.084181,0.079602,0.076777,0.000000,0.177092,0.000000,0.044782,0.389672,0.038420,0.000000,0.037444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T0008,8,40826,0.837883,0.979216,0.925961,-0.000002,0.000000,0.000000,-0.000002,-0.520924,0.000000,0.000000,-1.034212,0.435560,-0.753722,-0.808875,0.000000,0.000002,0.000000,0.000000,-0.805626,1.883846,0.000000,0.823175,0.736898,1.923765,1.910858,1.818657,8.054181,0.524124,-1.009565,0.000000,-0.764599,-0.812244,-0.806348,0.000000,0.000000,0.994141,0.263600,0.308063,0.291309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.137028,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.100904,0.000000,0.044092,0.039470,0.103042,0.102351,0.097413,0.431405,0.028074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.053249
T0008,9,43360,0.000000,0.000000,0.925961,0.000000,0.000000,0.000000,-0.000002,0.000000,0.000000,0.000000,1.034212,0.435560,-0.753722,0.000000,0.000000,0.000002,0.000000,0.000000,-0.805626,1.883846,0.000000,1.646351,0.736898,1.923765,2.547806,2.424877,11.505970,1.048248,1.009563,0.471054,-0.764599,-0.812244,-0.806348,0.000000,0.000000,0.994141,0.000000,0.000000,0.386504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.431689,0.181806,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.071923,0.000000,0.062856,0.028134,0.073447,0.097272,0.092579,0.439285,0.040021,0.038544,0.017984,0.000000,0.000000,0.000000,0.000000,0.000000,0.037955
