sample_id,burst_index,timestamp_ms,S0_410,S0_435,S0_460,S0_485,S0_510,S0_535,S0_560,S0_585,S0_610,S0_645,S0_680,S0_705,S0_730,S0_760,S0_810,S0_860,S0_900,S0_940,S1_410,S1_435,S1_460,S1_485,S1_510,S1_535,S1_560,S1_585,S1_610,S1_645,S1_680,S1_705,S1_730,S1_760,S1_810,S1_860,S1_900,S1_940,N0_410,N0_435,N0_460,N0_485,N0_510,N0_535,N0_560,N0_585,N0_610,N0_645,N0_680,N0_705,N0_730,N0_760,N0_810,N0_860,N0_900,N0_940,N1_410,N1_435,N1_460,N1_485,N1_510,N1_535,N1_560,N1_585,N1_610,N1_645,N1_680,N1_705,N1_730,N1_760,N1_810,N1_860,N1_900,N1_940
T0006,0,22588,0.000000,0.000002,-0.925961,0.000000,-0.753441,-1.373331,0.000002,-0.000002,-2.266411,0.000000,0.000000,-0.435560,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.805626,0.000002,0.000000,0.823175,0.000000,1.282513,0.636955,0.606220,5.752983,1.048248,1.009563,0.000000,0.000000,0.812244,0.000000,-1.095955,-0.680105,0.994141,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058499,0.000000,0.000000,0.059773,0.000000,0.093127,0.046251,0.044019,0.417740,0.076116,0.073307,0.000000,0.000000,0.058979,0.000000,0.000000,0.000000,0.072187
T0006,1,25165,-0.837887,0.000000,-0.925961,0.893093,-0.753441,0.686668,0.551744,0.520918,1.133194,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.805626,-0.941921,-0.877956,0.000000,0.000000,-0.641254,-0.636948,-0.606220,-2.301193,0.524124,-1.009565,0.000000,0.000000,0.812244,0.000000,-1.095955,-0.680105,0.994141,0.000000,0.000000,0.000000,0.235917,0.000000,0.181389,0.145748,0.137604,0.299342,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.224897,0.000000,0.000000,0.000000,0.348526,0.000000,0.000000,0.000000,0.426577
T0006,2,27743,0.000000,0.000000,-0.925961,0.893093,-0.753441,0.000002,0.000002,0.520918,2.266396,0.000000,1.034212,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.941921,-0.877956,0.000000,0.000000,0.000002,-0.636948,-0.606220,-1.150597,0.524124,0.000000,0.000000,0.000000,0.000000,0.000000,-1.095955,-0.680105,0.994141,0.000000,0.000000,0.000000,0.189430,0.000000,0.000000,0.000000,0.110490,0.480716,0.000000,0.219363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.345212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.654787
T0006,3,30364,0.000000,0.000000,-0.925961,0.893093,-0.753441,0.000002,0.000002,0.520918,2.266396,0.000000,1.034212,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.941921,-0.877956,0.000000,0.000000,-0.641254,-0.636948,-0.606224,-1.150597,0.524124,0.000000,0.000000,0.000000,0.812244,0.000000,-1.095955,-0.680105,0.994141,0.000000,0.000000,0.000000,0.189430,0.000000,0.000000,0.000000,0.110490,0.480716,0.000000,0.219363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.224897,0.000000,0.000000,0.000000,0.348526,0.000000,0.000000,0.000000,0.426577
T0006,4,32964,0.000000,0.000002,-0.925961,0.893093,-0.753441,0.000000,0.000002,0.520922,1.133194,0.000000,1.034212,-0.435560,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.877956,0.000000,0.000000,-0.641254,-0.636948,-0.606224,-1.150597,0.524124,2.019129,0.471053,0.000000,0.000000,0.000000,-1.095955,-0.680105,0.994141,0.000000,0.000001,0.000000,0.249368,0.000000,0.000000,0.000001,0.145451,0.316409,0.000000,0.288771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130755,0.503718,0.117515,0.000000,0.000000,0.000000,0.000000,0.000000,0.248011
T0006,5,35574,-0.837887,-0.979216,-0.925961,0.000000,-0.753441,-1.373333,-0.551741,-0.000002,-3.399605,-0.446913,0.000000,-0.435560,0.000000,0.000000,-0.865127,0.000000,0.000000,0.000000,0.000000,-0.941921,-0.877956,0.000000,0.000000,0.000002,0.000000,-0.606220,-1.150597,0.524124,1.009564,0.000000,0.000000,0.000000,0.000000,-1.095955,-0.680105,0.994141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.207341,0.399380,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393278
T0006,6,38197,0.000000,0.000000,-0.925961,0.893093,-0.753441,0.000002,0.000002,0.520918,1.133194,0.000000,1.034212,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.805626,-0.941921,-0.877956,0.000000,0.000000,0.000002,-1.273903,-0.606220,-2.301193,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,-1.095955,-0.680105,0.994141,0.000000,0.000000,0.000000,0.249368,0.000000,0.000001,0.000001,0.145450,0.316409,0.000000,0.288771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999998
T0006,7,40785,0.000000,0.000000,-0.925961,0.893093,-0.753441,0.686668,0.000002,0.520918,1.133194,0.000000,1.034212,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.941921,-0.877956,0.000000,0.000000,0.000002,-0.636955,-0.606220,-1.150597,-0.000002,1.009564,0.000000,0.000000,0.812244,0.000000,-1.095955,-0.680105,0.994141,0.000000,0.000000,0.000000,0.209249,0.000000,0.160884,0.000000,0.122049,0.265504,0.000000,0.242313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.358516,0.000000,0.000000,0.288444,0.000000,0.000000,0.000000,0.353039
T0006,8,43368,0.000000,0.000000,-0.925961,0.893093,-0.753441,0.000000,0.551744,0.520918,1.133194,0.000000,1.034212,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.941921,-0.877956,0.000000,0.000000,0.000002,-0.636955,-0.606220,-1.150597,-0.000002,2.019129,0.000000,0.000000,0.000000,0.000000,-1.095955,-0.680105,0.994141,0.000000,0.000000,0.000000,0.216080,0.000000,0.000000,0.133492,0.126034,0.274171,0.000000,0.250223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.670079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.329921
T0006,9,45990,0.000000,0.000000,-0.925961,0.893093,-0.753441,0.000002,0.000002,0.520918,2.266396,0.000000,1.034212,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.941921,-0.877956,0.000000,0.000000,0.000002,-0.636955,-0.606220,-1.150597,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,-1.095955,-0.680105,0.994141,0.000000,0.000000,0.000000,0.189430,0.000000,0.000000,0.000000,0.110490,0.480716,0.000000,0.219363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999998
