sample_id,burst_index,timestamp_ms,S0_410,S0_435,S0_460,S0_485,S0_510,S0_535,S0_560,S0_585,S0_610,S0_645,S0_680,S0_705,S0_730,S0_760,S0_810,S0_860,S0_900,S0_940,S1_410,S1_435,S1_460,S1_485,S1_510,S1_535,S1_560,S1_585,S1_610,S1_645,S1_680,S1_705,S1_730,S1_760,S1_810,S1_860,S1_900,S1_940,N0_410,N0_435,N0_460,N0_485,N0_510,N0_535,N0_560,N0_585,N0_610,N0_645,N0_680,N0_705,N0_730,N0_760,N0_810,N0_860,N0_900,N0_940,N1_410,N1_435,N1_460,N1_485,N1_510,N1_535,N1_560,N1_585,N1_610,N1_645,N1_680,N1_705,N1_730,N1_760,N1_810,N1_860,N1_900,N1_940
S0032,0,16428,0.000000,-1.958433,-0.925964,0.000000,0.000000,-2.060001,-0.551743,-1.041840,-6.799202,-0.446913,1.034212,-0.435560,0.000000,0.808875,-0.865127,0.000000,0.000000,0.000000,-0.805626,-0.000002,0.877956,0.000000,0.000000,-1.282511,-2.547810,-2.424877,-4.602386,-1.048250,-1.009563,-0.471054,0.000000,0.000000,-0.806348,0.000000,0.000000,-0.994141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.561130,0.000000,0.438870,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0032,1,19082,0.000000,0.000000,0.000000,0.893095,0.753441,-0.000002,0.551743,0.520922,3.399605,0.000000,1.034212,0.000000,0.000000,0.808875,0.000000,0.000000,0.000000,0.000000,-0.805626,-0.000002,0.877956,0.000000,0.000000,-0.641256,-1.910854,-2.424877,-2.301193,-0.524126,-1.009563,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.994141,0.000000,0.000000,0.000000,0.112171,0.094631,0.000000,0.069298,0.065427,0.000000,0.000000,0.000000,0.000000,0.426985,0.129895,0.000000,0.101593,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0032,2,21682,0.000000,0.000000,0.000000,0.893095,0.753441,-0.000002,0.000000,0.000000,1.133202,0.000000,1.034212,-0.435560,0.000000,0.808875,0.865127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.823175,0.000000,-0.641256,-1.910854,-2.424877,-2.301193,-0.524124,0.000000,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,-0.994141,0.000000,0.000000,0.000000,0.162737,0.137290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.206489,0.188451,0.000000,0.147391,0.157641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0032,3,24308,0.000000,0.000000,-0.925964,0.893095,0.753441,-0.686666,0.000000,0.520922,0.000000,-0.446913,0.000000,0.000000,0.000000,0.808875,0.000000,0.000000,0.000000,0.000000,0.000000,0.941923,0.877956,0.000000,0.000000,-0.641256,-1.910854,-1.818657,-2.301193,-0.524124,0.000000,-0.471054,0.000000,0.000000,0.000000,0.000000,0.000000,-0.994141,0.000000,0.000000,0.000000,0.300066,0.253144,0.000000,0.000000,0.175021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.271769,0.000000,0.000000,0.000000,0.517574,0.482426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0032,4,27012,0.000000,0.000000,-0.925964,0.893095,0.753441,0.000000,0.000000,0.520922,1.133202,-0.446913,2.068422,0.000000,0.000000,0.808875,0.000000,0.000000,0.000000,0.000000,0.000004,1.883846,0.877956,0.000000,0.000000,1.282507,-0.636951,-1.212437,3.451790,-0.524126,0.000000,-0.000000,0.000000,0.812244,0.000000,0.000000,0.000000,-0.994141,0.000000,0.000000,0.000000,0.144562,0.121956,0.000000,0.000000,0.084319,0.000000,0.000000,0.000000,0.000000,0.183427,0.334807,0.000000,0.130929,0.000000,0.000000,0.000000,0.226741,0.105672,0.000000,0.000000,0.154364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.415460,0.000000,0.000000,0.097762,0.000000,0.000000
S0032,5,29595,0.000000,-0.979216,-0.925964,0.893095,0.000000,-0.686666,-0.551743,0.000000,-2.266403,-0.446913,2.068422,-0.435560,0.000000,0.000000,-0.865127,0.000000,0.000000,0.000000,0.000000,0.941923,0.877956,0.000000,0.000000,-0.641256,-1.273903,-2.424877,-2.301193,-0.524124,0.000000,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,-0.994141,0.000000,0.000000,0.000000,0.301567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.698433,0.000000,0.000000,0.000000,0.000000,0.000000,0.517574,0.482426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0032,6,32310,0.000000,0.000000,-0.925964,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,1.034212,0.000000,0.000000,0.808875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.877956,-0.823175,0.000000,0.000000,-1.273903,-2.424877,-3.451790,-0.524124,-1.009563,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,-0.994141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.561130,0.000000,0.438869,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0032,7,34876,0.000000,0.000000,-0.925964,0.000000,0.000000,-0.686668,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.808875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.823175,0.000000,0.000000,-1.273903,-2.424877,-2.301193,-0.524124,0.000000,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,-0.994141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0032,8,37465,0.000000,0.000000,-0.925964,0.000000,0.000000,-0.686668,0.000000,0.000002,0.000000,0.000000,1.034212,0.000000,0.000000,0.808875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.823175,0.000000,0.000000,-1.273903,-2.424877,-2.301193,-0.524124,-1.009563,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,-0.994141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.561130,0.000000,0.438869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0032,9,40025,0.000000,0.000000,-0.925964,0.000000,0.000000,-0.686668,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.808875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.823175,0.000000,-0.641254,-1.273903,-2.424877,-2.301193,-1.048252,-1.009563,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
