sample_id,burst_index,timestamp_ms,S0_410,S0_435,S0_460,S0_485,S0_510,S0_535,S0_560,S0_585,S0_610,S0_645,S0_680,S0_705,S0_730,S0_760,S0_810,S0_860,S0_900,S0_940,S1_410,S1_435,S1_460,S1_485,S1_510,S1_535,S1_560,S1_585,S1_610,S1_645,S1_680,S1_705,S1_730,S1_760,S1_810,S1_860,S1_900,S1_940,N0_410,N0_435,N0_460,N0_485,N0_510,N0_535,N0_560,N0_585,N0_610,N0_645,N0_680,N0_705,N0_730,N0_760,N0_810,N0_860,N0_900,N0_940,N1_410,N1_435,N1_460,N1_485,N1_510,N1_535,N1_560,N1_585,N1_610,N1_645,N1_680,N1_705,N1_730,N1_760,N1_810,N1_860,N1_900,N1_940
S0040,0,11303,-0.837883,-1.958433,0.000000,-0.893093,0.000000,-2.059999,-1.103487,-0.520922,-0.446913,-0.435560,0.000000,0.000000,-6.799210,-2.068422,0.000000,-0.808875,0.000000,-1.106319,-1.611256,-0.000002,-0.877956,0.823175,0.000000,-0.000004,-0.636951,0.606220,0.524126,0.471053,0.000000,0.000000,0.000000,3.028694,0.000000,-0.812244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150951,0.000000,0.000000,0.000000,0.111166,0.096112,0.086380,0.000000,0.000000,0.000000,0.555391,0.000000,0.000000,0.000000,0.000000
S0040,1,13910,0.000000,0.000000,0.000000,0.000000,0.000000,1.373333,-0.551743,0.000000,0.000000,0.435560,0.632832,0.000000,1.133198,0.000000,0.000000,-0.808875,0.865127,-1.106319,-0.805630,0.000000,-0.877956,0.000000,0.000000,1.282509,0.636951,1.212440,0.524128,0.471053,0.000000,0.994141,3.451790,2.019130,0.000000,-0.812244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.309306,0.000000,0.000000,0.000000,0.098098,0.142528,0.000000,0.255222,0.000000,0.000000,0.000000,0.194846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.121081,0.060134,0.114466,0.049483,0.044472,0.000000,0.093856,0.325882,0.190625,0.000000,0.000000,0.000000,0.000000
S0040,2,16492,0.000000,0.000000,0.000000,0.000000,0.000000,0.686666,0.000000,-0.000002,0.000000,0.000000,0.632832,0.000000,1.133202,-1.034210,0.000000,-0.808875,0.865127,-1.106319,-1.611256,-0.941923,-0.877956,0.000002,0.000000,0.641251,-0.000004,0.606220,1.048250,0.471053,-0.680105,0.994141,3.451790,1.009565,0.000000,0.000000,0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.206963,0.000000,0.000000,0.000000,0.000000,0.190737,0.000000,0.341549,0.000000,0.000000,0.000000,0.260751,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.071024,0.000000,0.067144,0.116103,0.052173,0.000000,0.110110,0.382317,0.111818,0.000000,0.000000,0.089310,0.000000
S0040,3,19076,0.000000,0.000002,0.000000,0.893095,0.000000,2.059999,0.000004,-0.000002,0.000000,0.435560,0.000000,0.000000,3.399597,0.000000,0.000000,0.000000,0.000000,-1.106319,-1.611256,-0.941923,-0.877956,0.000002,0.000000,-0.000004,-0.000004,0.606216,0.524126,-0.000000,-0.680105,0.994141,0.000000,2.019129,0.000000,0.000000,0.806348,0.000000,0.000000,0.000000,0.000000,0.131565,0.000000,0.303465,0.000001,0.000000,0.000000,0.064164,0.000000,0.000000,0.500806,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.122469,0.105885,0.000000,0.000000,0.200838,0.000000,0.407908,0.000000,0.000000,0.162900,0.000000
S0040,4,21648,0.000000,0.000002,0.000000,-0.893093,0.000000,0.686668,0.000004,-0.000002,0.000000,0.435560,0.000000,0.000000,-0.000008,0.000000,0.000000,0.000000,0.000000,-1.106319,-1.611256,-0.941923,-0.877956,0.000002,0.000000,-0.000004,-0.000004,-0.000004,0.000002,-0.000000,0.000000,0.994141,-1.150597,2.019129,0.000000,0.000000,0.806348,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.611876,0.000003,0.000000,0.000000,0.388119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.260272,0.000000,0.528620,0.000000,0.000000,0.211107,0.000000
S0040,5,24274,0.000000,0.000002,0.000000,0.000002,0.000000,0.686668,0.000004,-0.000002,0.000000,0.435560,0.000000,0.000000,-0.000008,0.000000,0.000000,0.000000,0.000000,-1.106319,-1.611256,-0.941923,-0.877956,0.000002,0.000000,-0.000004,-0.000004,-0.000004,0.000002,-0.000000,-0.680105,0.994141,0.000000,2.019129,0.000000,0.000000,0.806348,0.000000,0.000000,0.000002,0.000000,0.000002,0.000000,0.611875,0.000003,0.000000,0.000000,0.388118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.260272,0.000000,0.528620,0.000000,0.000000,0.211107,0.000000
S0040,6,26824,0.000000,0.000002,0.000000,0.000002,0.000000,0.686666,0.000004,-0.000002,-0.446913,0.435560,0.000000,0.000000,-0.000008,0.000000,0.000000,0.000000,0.000000,-1.106319,-1.611256,-0.941923,-0.877956,0.000002,0.000000,-0.000004,-0.000004,-0.000004,0.000002,-0.000000,-0.680105,0.994141,0.000000,2.019129,0.000000,0.000000,0.806348,1.095957,0.000000,0.000002,0.000000,0.000002,0.000000,0.611875,0.000003,0.000000,0.000000,0.388119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.202243,0.000000,0.410761,0.000000,0.000000,0.164039,0.222956
S0040,7,29490,0.000000,0.000002,0.000000,0.000002,0.000000,0.686666,0.000004,-0.000002,0.000000,0.435560,0.000000,0.000000,-0.000008,1.034212,0.000000,0.000000,0.000000,-1.106319,-1.611256,-0.941923,-0.877956,0.000002,0.000000,0.641251,-0.000004,0.606220,0.000002,0.471053,-0.680105,0.994141,1.150597,1.009565,0.000000,0.000000,0.806348,0.000000,0.000000,0.000001,0.000000,0.000001,0.000000,0.318425,0.000002,0.000000,0.000000,0.201980,0.000000,0.000000,0.000000,0.479591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.112913,0.000000,0.106744,0.000000,0.082944,0.000000,0.175050,0.202599,0.177766,0.000000,0.000000,0.141983,0.000000
S0040,8,32139,0.837887,-0.979216,0.000000,0.000002,0.000000,0.000002,0.000004,-0.000002,-0.446913,0.435560,0.000000,0.000000,-1.133209,-1.034210,0.000000,0.000000,0.000000,-1.106319,-1.611256,-0.941923,-0.877956,0.000002,0.000000,-0.000004,-0.000004,0.606216,0.000002,-0.000000,-0.680105,0.994141,-1.150597,1.009565,0.000000,0.000000,0.806348,0.000000,0.657964,0.000000,0.000000,0.000001,0.000000,0.000001,0.000003,0.000000,0.000000,0.342030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.177450,0.000001,0.000000,0.000000,0.291001,0.000000,0.295516,0.000000,0.000000,0.236031,0.000000
S0040,9,34771,0.000000,0.000002,0.000000,-0.893093,0.000000,0.686668,0.000004,-0.000002,0.000000,0.435560,0.000000,0.000000,-0.000008,-1.034210,0.000000,0.000000,0.000000,-1.106319,-1.611256,-0.941923,-0.877956,0.823177,0.000000,-0.000002,-0.000004,0.000000,0.524126,0.471053,0.000000,0.994141,0.000000,2.019129,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.611876,0.000003,0.000000,0.000000,0.388119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.170373,0.000000,0.000000,0.000000,0.000000,0.108478,0.097494,0.000000,0.205757,0.000000,0.417898,0.000000,0.000000,0.000000,0.000000
