sample_id,burst_index,timestamp_ms,S0_410,S0_435,S0_460,S0_485,S0_510,S0_535,S0_560,S0_585,S0_610,S0_645,S0_680,S0_705,S0_730,S0_760,S0_810,S0_860,S0_900,S0_940,S1_410,S1_435,S1_460,S1_485,S1_510,S1_535,S1_560,S1_585,S1_610,S1_645,S1_680,S1_705,S1_730,S1_760,S1_810,S1_860,S1_900,S1_940,N0_410,N0_435,N0_460,N0_485,N0_510,N0_535,N0_560,N0_585,N0_610,N0_645,N0_680,N0_705,N0_730,N0_760,N0_810,N0_860,N0_900,N0_940,N1_410,N1_435,N1_460,N1_485,N1_510,N1_535,N1_560,N1_585,N1_610,N1_645,N1_680,N1_705,N1_730,N1_760,N1_810,N1_860,N1_900,N1_940
S0020,0,17720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.805626,0.000000,0.000000,0.000000,-0.736900,0.000002,0.636948,0.606220,3.451790,0.000000,-1.009565,0.471054,0.000000,0.000000,-0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134909,0.000000,0.000000,0.000000,0.000000,0.000000,0.106662,0.101517,0.000000,0.078882,0.000000,0.000000,0.578031,0.000000,0.000000,0.000000,0.000000,0.000000
S0020,1,20363,0.000000,-0.979216,0.000000,0.000000,0.000000,-0.686666,0.551746,0.520922,-1.133202,-0.446913,2.068422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.805626,-0.941923,0.000000,-0.823175,-0.736900,-1.282507,-1.273903,-1.212437,-5.752983,-0.524124,0.000000,0.000000,-0.764598,0.000000,-0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.175654,0.165841,0.000000,0.000000,0.000000,0.000000,0.000000,0.658505,0.000000,0.000000,0.000000,0.000000,0.999999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0020,2,22902,0.000000,0.000000,0.000000,0.893093,0.753441,0.000000,0.551746,0.520922,1.133202,0.000000,1.034212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.636955,-0.606220,0.000000,0.000000,-2.019129,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.182763,0.154185,0.000000,0.112910,0.106602,0.000000,0.000000,0.000000,0.000000,0.231899,0.211642,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0020,3,25562,0.000000,0.000000,0.925964,-0.000002,0.753441,0.686665,0.551746,0.520918,1.133205,0.000000,1.034212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.805626,0.000000,0.877956,0.000000,-0.736900,-0.641251,0.000000,0.000004,2.301193,-0.524124,-1.009565,0.000000,-0.764598,0.000000,-0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.165169,0.000000,0.134395,0.122484,0.098418,0.092919,0.000000,0.000000,0.000000,0.000000,0.202136,0.184478,0.000000,0.000000,0.000000,0.000000,0.202176,0.000000,0.220327,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.577496,0.000000,0.000000,0.000000,0.000000,0.000000
S0020,4,28173,0.000000,0.000000,0.000000,-0.893095,0.000000,-0.686666,0.000000,-0.000002,-2.266403,0.000000,0.000000,-0.435560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.805626,-0.941923,0.000000,-0.823175,-0.736900,-0.641251,0.000000,0.000000,0.000000,-0.524124,-1.009565,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0020,5,30728,0.000000,0.000000,0.000000,-0.000002,0.753441,0.000000,0.551746,0.520918,-1.133198,0.000000,0.000000,-0.435560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.805626,-0.941923,0.877956,0.000000,-0.736900,0.000004,0.000000,0.000004,0.000000,-0.524124,0.000000,0.471054,0.000000,0.000000,-0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.412594,0.000000,0.302144,0.285262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.373902,0.000000,0.407472,0.000000,0.000000,0.000002,0.000000,0.000002,0.000000,0.218623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0020,6,33349,0.000000,0.000000,0.000000,0.893093,0.753441,0.686665,1.103493,0.520922,2.266399,0.000000,1.034212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.823175,0.000000,-0.641254,-1.273903,-1.212440,-3.451790,-0.524126,-2.019129,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.123046,0.103805,0.094605,0.152033,0.071770,0.000000,0.000000,0.000000,0.000000,0.312253,0.142488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0020,7,35987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.551746,0.000000,0.000000,0.000000,2.068422,-0.435560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.941925,0.000000,0.000000,-0.736900,-0.641252,0.000000,-0.606220,-1.150597,-0.524124,0.000000,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.210577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.789423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0020,8,38674,0.000000,0.979216,0.000000,0.000000,0.000000,1.373333,1.103489,1.041841,4.532806,0.446913,2.068422,0.435560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.941925,0.000000,0.000000,-0.736900,-1.282507,-0.636955,-1.212440,-4.602386,-1.048250,-1.009565,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,0.000000,0.000000,0.081727,0.000000,0.000000,0.000000,0.114620,0.092099,0.086954,0.037300,0.036352,0.000000,0.000000,0.378315,0.172634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0020,9,41208,0.000000,0.000000,0.000000,0.000000,0.000000,-0.686668,0.551746,0.000000,-1.133202,0.000000,1.034212,-0.435560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.641254,0.636948,0.000000,2.301193,-0.524126,-2.019129,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.347895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.652105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216786,0.000000,0.000000,0.000000,0.000000,0.000000,0.783214,0.000000,0.000000,0.000000,0.000000,0.000000
S0020,10,43830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.551746,0.000000,0.000000,0.000000,2.068422,-0.435560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.823175,0.000000,-0.641254,-1.273903,-1.212440,-2.301193,-0.524126,-2.019129,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.210577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.789423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
