sample_id,burst_index,timestamp_ms,S0_410,S0_435,S0_460,S0_485,S0_510,S0_535,S0_560,S0_585,S0_610,S0_645,S0_680,S0_705,S0_730,S0_760,S0_810,S0_860,S0_900,S0_940,S1_410,S1_435,S1_460,S1_485,S1_510,S1_535,S1_560,S1_585,S1_610,S1_645,S1_680,S1_705,S1_730,S1_760,S1_810,S1_860,S1_900,S1_940,N0_410,N0_435,N0_460,N0_485,N0_510,N0_535,N0_560,N0_585,N0_610,N0_645,N0_680,N0_705,N0_730,N0_760,N0_810,N0_860,N0_900,N0_940,N1_410,N1_435,N1_460,N1_485,N1_510,N1_535,N1_560,N1_585,N1_610,N1_645,N1_680,N1_705,N1_730,N1_760,N1_810,N1_860,N1_900,N1_940
S0009,0,10314,0.000000,-0.979217,0.000000,0.000000,0.753441,-2.059999,-1.103489,-1.041841,-5.666000,-0.446913,0.000001,-0.435560,-0.753722,0.000000,0.000000,0.000000,0.000000,0.000000,0.805628,-0.941923,0.000000,0.823175,0.000000,-0.000001,0.636953,0.000002,-1.150597,0.524126,0.000000,-0.471053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.288767,0.000000,0.000000,0.295057,0.000000,0.000000,0.228308,0.000001,0.187867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0009,1,12931,0.000000,-1.958434,0.000000,0.000000,0.753441,-1.373331,-0.551744,0.000001,-2.266396,0.000001,-1.034211,0.000000,-0.753722,-0.808875,0.000000,0.000000,0.000000,0.000000,0.000002,-0.941923,0.000000,0.000000,0.000000,-0.641255,0.000000,0.000000,-3.451790,0.000002,1.009564,-0.471053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999997,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.999996,0.000000,0.000000,0.000000,0.000000
S0009,2,15508,0.000000,-0.979217,0.000000,0.000000,0.753441,-0.686665,-0.551744,0.000001,-1.133194,-0.446913,-1.034211,0.000000,-0.753722,0.000000,0.000000,0.000000,0.000000,0.000000,0.805628,-0.941923,0.000000,0.000000,0.000000,-0.641255,0.000000,-0.606220,-3.451790,0.000002,1.009564,-0.471053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999998,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.443825,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.556174,0.000000,0.000000,0.000000,0.000000
S0009,3,18097,0.000000,0.000000,0.000000,0.000000,0.753441,0.686666,-0.551744,0.000001,0.000008,0.000001,0.000001,0.000000,-0.753722,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,-0.941923,0.000000,0.000000,0.000000,-0.641255,0.000002,0.000000,-2.301193,0.000002,0.000000,-0.471053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.523180,0.476813,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0009,4,20723,0.000000,-0.979217,0.000000,0.000000,0.753441,0.000002,-0.551744,0.000001,0.000008,-0.446913,-1.034211,0.435560,-0.753722,0.000000,0.000000,0.000000,0.000000,0.000000,0.805628,-0.941923,0.000000,0.000000,0.000000,-1.282510,-0.636951,0.000000,-4.602386,0.000002,2.019128,-0.471053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.633670,0.000002,0.000000,0.000001,0.000000,0.366321,0.000000,0.000000,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.285202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.714797,0.000000,0.000000,0.000000,0.000000
S0009,5,23333,0.000000,-0.979217,0.000000,0.893094,0.000000,0.000000,0.000000,0.000001,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.805628,-0.941923,0.000000,0.000000,0.000000,-0.641254,0.000000,-0.606220,-3.451790,-0.524124,1.009564,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999994,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.443825,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.556175,0.000000,0.000000,0.000000,0.000000
S0009,6,25933,0.000000,-0.979217,0.000000,0.893094,0.000000,0.000000,0.000000,0.520922,2.266407,0.000000,0.000000,0.435560,0.000000,0.000000,0.865127,0.000000,0.000000,0.000000,0.805628,-0.941923,0.000000,0.000000,0.000000,-0.641254,-0.636951,0.000000,-3.451790,0.000002,0.000000,-0.471053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.179296,0.000000,0.000000,0.000000,0.104579,0.000000,0.087442,0.000000,0.000000,0.455000,0.000000,0.000000,0.000000,0.173682,0.000000,0.999998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0009,7,28488,0.000000,-0.979217,0.000000,0.893094,0.753441,-0.686666,0.000000,0.000001,0.000004,0.000000,-1.034211,0.435560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.805628,-0.941923,0.000000,0.000000,0.000000,-0.641254,0.000000,0.000000,-3.451790,0.000002,2.019128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.428939,0.361866,0.000000,0.000000,0.000000,0.000000,0.209193,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.285202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.714797,0.000000,0.000000,0.000000,0.000000
S0009,8,31082,0.000000,-0.979217,0.000000,0.893094,0.753441,-0.686666,0.000000,0.000001,0.000004,0.000000,0.000001,0.435560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.805628,-0.941923,0.000000,0.000000,0.000000,-0.641254,-0.636951,0.000000,-4.602386,0.000002,0.000000,-0.471053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.428939,0.361866,0.000000,0.000000,0.000000,0.000000,0.209193,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.999998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0009,9,33605,0.000000,-1.958434,0.000000,0.000000,0.000000,-2.746666,-1.103489,-1.041841,-7.932404,-0.446913,-1.034211,-0.435560,-0.753722,0.000000,0.000000,0.000000,0.000000,0.000000,0.805628,0.000000,0.000000,0.823175,0.000000,0.641255,0.636953,0.606220,2.301193,0.000000,0.000000,0.000000,0.000000,0.000000,0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.121682,0.000000,0.000000,0.124332,0.000000,0.096855,0.096205,0.091563,0.000000,0.000000,0.000000,0.000000,0.347572,0.000000,0.000000,0.000000,0.121791,0.000000
